Name,Position
Abdelkabir Abqar,DC
Toni Lato,DLG
Samuel Omorodion,BU
Unai Gómez,MOC
Iddrisu Baba,MDC
Domingos Duarte,DC
Óscar Rodríguez,MG
Tanguy Kouassi,DC
Lucas Torró,MC
Abdón Prats,BU
Máximo Perrone,MC
Aimar Oroz,MC
Samú Costa,MC
Antonio Blanco,MDC
Manu Bueno,MC
Anthony Lozano,BU
César Montes,DC
Ander Guevara,MDC
Arthur Vermeeren,MC
Alfonso Espino,DG
Rodri Sánchez,MOC
Iker Muniain,MOC
Jorge Meré,DC
Edgar González,DC
Álex Centelles,DG
Javier Manquillo,DC
Omar Alderete,DC
Pablo Torre,MOC
Dodi Lukébakio,BU
Héctor Bellerín,DD
Jon Ander Olasagasti,MC
Roger Martí,BU
Óscar Trejo,BU
Pablo Maffeo,DLD
Álvaro García,AG
Isi Palazón,MD
Alberto Moleiro,MG
Luis Hernández,DC
Damián Suárez,DD
André Silva,BU
Sergio Akieme,DG
Urko González,MC
Cyle Larin,BU
Yeremi Pino,MG
Srđan Babić,DC
José Manuel Copete,DC
Carlos Fernández,BU
Djené Dakonam,DC
Carlos Romero,DG
Ilias Akhomach,MD
Jon Moncayola,MC
Juanmi,BU
Álex Fernández,MC
Munir El Haddadi,MD
Rubén Peña,DD
José Luis Morales,BU
Pejiño,MD
Javi Muñoz,MC
Assane Diao,AD
Selim Amallah,BU
Antonio Sánchez,MD
Joan Jordán,MDC
Javi Llabrés,MD
Ilaix Moriba,MC
Dimitri Foulquier,DD
Ricard Sánchez,DD
Kamil Piątkowski,DC
Mauro Arambarri,MC
Siebe Van der Heyden,DC
Juan Brandariz,DC
Ben Brereton,BU
Arsen Zakharyan,MC
Fabrizio Angileri,DLG
Miguel Crespo,MDC
Kike Pérez,MOC
Ander Barrenetxea,BU
Nemanja Radonjić,MG
Gonzalo Escalante,MC
Lucas Pires,DG
Jon Magunazelaia,BU
Fran Pérez,MD
Denis Suárez,MC
Myrto Uzuni,BU
Omar Mascarell,MC
José Ángel Carmona,MD
Juan Miguel Latasa,BU
José Callejón,MG
Brian Ocampo,AD
Rafa Mir,BU
Juan Cruz,DG
Rubén Sobrino,MG
Jon Aramburu,DD
Momo Mbaye,DC
Jaime Mata,BU
Javi Guerra,MC
Stefan Mitrović,DC
Sergio Camello,BU
Cristian Herrera,MG
Raúl de Tomás,BU
Carlos Neva,DG
Abderrahmane Rebbach,AG
Kevin Vázquez,DD
Unai García,DC
Tadeo Allende,MD
Nacho Vidal,DLD
Marc Cardona,BU
Carlos Dotor,MC
Maxi Gómez,BU
Álvaro Carreras,AG
Yarek Gąsiorowski,DG
Andrei Rațiu,DD
Daley Sinkgraven,DG
Lucas Boyé,BU
Roman Yaremchuk,BU
Dani Rodríguez,MC
Roberto Navarro,MG
Ramón Terrats,MC
Fabio González,MDC
Facundo Pellistri,MD
Raúl Torrente,DC
Joseba Zaldúa,DD
Peter González,MD
Raúl Fernández,G
Álvaro Lemos,DD
Thomas Lemar,MC
Óscar Melendo,MC
Alberto Marí,BU
Amath Ndiaye,BU
Jorge Martín Camuñas,MG
Dani Cárdenas,G
Borja Iglesias,BU
Kaiky,DC
Gonzalo Melero,MOC
Manu Trigueros,MOC
Carles Aleñá,MD
Wilson Manafá,DD
Kike Barja,BU
Kamil Jan Jóźwiak,MG
Adrià Altimira,DD
Gerard Gumbau,MC
Carles Pérez,MD
Houboulang Mendes,DD
Vitor Roque,BU
Nabil Aberdin,DC
Álex Pozo,DD
Arnau Puigmal,DD
Víctor Díaz,DC
Theo Corbeanu,MG
Mariano Díaz,BU
Asier Villalibre,BU
Sergio Rodelas Pintor,BU
Marvin Park,MD
Sergi Guardiola,BU
José Campaña,MDC
Yoel Lago,DC
Jesús Vallejo,DC
Iván Alejo,MD
Matías Arezo,BU
Sory Kaba,BU
Antonio Puertas,MG
Xeber Alkain,MD
Martin Hongla,MC
Pablo Gozálbez Gilabert,AG
Lázaro,AD
Mikel Jauregizar,MOC
Unai Marrero,G
Marko Milovanović,BU
Jhon Solís,MC
Radamel Falcao,BU
Miguel de la Fuente,BU
Miguel Rodríguez,MD
Benito Ramírez,MG
Ibrahima Koné,BU
Çağlar Söyüncü,DC
Cédric Bakambu,BU
Aarón Escandell,G
Egoitz Muñoz,DEF
Geoffrey Kondogbia,MIL
Pablo Marín,MIL
Marco Asensio,ATT
Antonio Espigares,DEF
Marvel,DEF
Lucas Cañizares,G
Aristide Nicolas Junior Njalla,MIL
Marius Herzig,G
Álvaro Negredo,ATT
Marco Moreno,DEF
Darío Benavides Fuentes,DEF
Ali Fadal,MIL
Alberto Dadie,ATT
Álex Padilla,G
Miguel Jiménez Capitas,ATT
Marc Casadó,MIL
Alejo Véliz,ATT
Álvaro Rodríguez,ATT
Martín Conde,DEF
Edgar Pujol,DEF
José Antonio de la Rosa,ATT
José Ángel Pozo,MIL
Bryan Fiabema,ATT
Jon Martín,DEF
Iker Álvarez,G
Victor Aznar,G
Alfonso Pastor,G
Miguelito,DEF
José Fontán,DEF
Aboubacar Bassinga,MIL
Diadié Samassékou,MIL
Pablo Sáenz Ezquerra,ATT
Santi García,MIL
Lautaro de León,ATT
Joseda Álvarez,DEF
Uroš Račić,MIL
Santiago Mouriño,DEF
Adrián Rodríguez,G
Arnau Tenas,G
Mario González,MIL
Sergio Gimeno,DEF
Rodrigo Ely,DEF
Agustín Marchesín,G
César Fernández González,G
Matheus Cunha,ATT
Diego Kochen,G
Stanis Idumbo,MIL
Gonzalo García,ATT
Víctor Meseguer,MIL
Salim El Jebari,ATT
Jordi Mboula,ATT
Javier Martón,ATT
Carlo García,MIL
Adrián Corral,DEF
Adrián de la Fuente,DEF
Marcos Paulo,ATT
Rubén Iranzo,DEF
Ibon Ispizua,G
Felipe,DEF
Adrián Niño Heredia,ATT
Martín Tejón Fauli,MIL
Egoitz Arana,G
Silvi Clua,MIL
Diego Méndez,MIL
Álex Balboa,MIL
Xavi Sintes,MIL
Pablo Valencia,G
Ginés Sorroche Piñero,MIL
Marcos Sánchez,DEF
Samuel Umtiti,DEF
Bruno Iribarne Alemán,G
Nikola Maraš,DEF
Pablo Durán,ATT
Miguel Peñalver Martínez,DEF
Marcos Fernández,DEF
Sergio Guerrero Romero,MIL
David López,DEF
Borja Vazquez Doña,ATT
Aitor Gismera,MIL
Jordi Alba,DEF
Gabriel Fernández,ATT
Matías Árbol,G
Théo Zidane Fernández,MIL
Unai Vencedor,MIL
Mario de Luis,G
Xavi Pleguezuelo,DEF
Jorge Benito de Valle Martín,G
Lulo,MIL
Joel López Salguero,DEF
Álex Calatrava Torrado,ATT
Rodrigo Alonso Martín,MIL
Álvaro Sanz Catalán,MIL
Miguel Morro,G
Fran González,G
Renan Lodi,DEF
Ander Capa,DEF
Luis López,G
Sergio Moreno,ATT
Orbelín Pineda,MIL
José Luis Pérez del Amo,ATT
Nobel Mendy,DEF
Shon Weissman,ATT
Alejandro Iturbe,G
Gerard Martín,DEF
Abdellah Raihani,ATT
Ismael Ruiz Sánchez,MIL
Álex Forés Mendoza,ATT
Ruly García,G
Iñaki Rupérez Urtasun,DEF
Alberto Collado López,MIL
Rubén Quintanilla,MIL
Sergio Díez,DEF
Sergiño Dest,DEF
Javi Rodríguez,DEF
Joaquín Martínez Gauna,ATT
Alejandro Herranz López,DEF
Nacho Quintana,MIL
Karim Rekik,DEF
Alfon González,ATT
Sabit Abdulai,MIL
Sergio Mestre,G
Santiago Bueno,DEF
José Alejandro de León Gómez,ATT
Javier Boñar Franco,DEF
Ángel Alarcón,ATT
Javi Martínez,MIL
Víctor Parada,DEF
Hugo Rincón Lumbreras,DEF
Bebé,ATT
Pol Tristán Jiménez,G
Clément Lenglet,DEF
Abdallahi Mahmoud,MIL
Ibrahima Kébé,MIL
Darko Brašanac,MIL
Pau Mascaró Ruiz,ATT
John Patrick,MIL
Unai Veiga González,MIL
Vicent Abril Sanz,G
Adnan Januzaj,MIL
Pablo Muñoz,MIL
Jon Karrikaburu,ATT
Andrés Martín,ATT
Ivo Grbić,G
David Otorbi Ejedewawe,ATT
Luis Bilbao,ATT
Javi Domínguez,DEF
Aitor Fraga,G
Álex Collado,MIL
Antal Yaakobishvili,DEF
Aingeru Olabarrieta,ATT
Jeremy José Jorge Jiménez,MIL
Karim Benzema,ATT
Pablo Pérez,DEF
Asier Osambela Larraya,MIL
Eric Monjonell,DEF
Matt Doherty,DEF
Ilias Kostis,DEF
Juan Arango,MIL
Carlos Sogorb Oliver,DEF
Biel Farrés,DEF
Mikayil Faye,DEF
Adrián Butzke,ATT
Eneko Ortiz,DEF
Franck Kessié,MIL
Pablo Busto,DEF
Cristian Rivero,G
Íñigo Arguibide Goñi,ATT
Rubén Montero,G
Yuzún Francisco Ley Pizá,DEF
Iván Vasiljević Djorjević,DEF
Daniel Andrés Luna García,MIL
Àlex Almansa,ATT
Áron Yaakobishvili,G
Àlex Valle,DEF
Facundo Esnáider Ruiz,MIL
Federico Agustín Gattoni,DEF
Marcos André,ATT
Jacobo Ramón,DEF
Ander Astrálaga,G
Miguel Ángel Brau Blánquez,DEF
Borja García,MIL
Alexander Callens,DEF
Adama Boiro,DEF
Diego Hormigo,DEF
Daniel González Flores,ATT
Giorgi Gagua,ATT
Iván Romero,ATT
Andoni Zubiaurre,G
Diego Collado,ATT
Rafael Romero,G
Famara Diédhiou,ATT
Milutin Osmajić,ATT
Jorge Pascual,ATT
Claudio Mendes Vicente,ATT
Dani Rodríguez,MIL
Stefan Leković,DEF
Isaac Hernández,DEF
Alberto Perea,ATT
Etta Eyong,MIL
Jorge Sáenz,DEF
Arvin Appiah,ATT
Tomás Alarcón,MIL
Martin Šviderský,MIL
Ludwig Augustinsson,DEF
Gabriel Palmero,DEF
Ethyan Jesús González Morales,ATT
Selu Diallo,MIL
Adrián Miranda Nieto,DEF
Loren Morón,ATT
Gorka Rivera,DEF
Israel Domínguez Velasco,ATT
Samuel Chukwueze,ATT
Salvador Sevilla López,MIL
Pedro Ortiz,MIL
Diego López de Haro Repullo,MIL
Nico Serrano,ATT
Jastin García,ATT
Alberto Moreno,MIL
Dani Requena,MIL
Joni Montiel,MIL
Yassin Fekir,MIL
Mikel Balenziaga,DEF
Jesús Corona,MIL
Modibo Sagnan,DEF
Max Svensson,ATT
Dani Tasende,DEF
Ibrahima Sow,ATT
Nicolas Jackson,ATT
Nando,G
Alejandro Quevedo Barber,G
Lassina Sangaré,MIL
Clément Grenier,MIL
Carlos Ballestero García,DEF
Aleix Garrido,MIL
Iñaki González,MIL
Antoñín Cortés,ATT
Ander Sánchez,MIL
Óscar Francisco García Quintela,MIL
Eghosa Augustine Bello,ATT
Antonio Gomis,G
Yassin Tallal Amiri,MIL
Jorge Moreno,DEF
Aritz Arambarri,DEF
Juan Manuel Sanabria,MIL
Pape Gueye,MIL
Juan Carlos,G
Alpha Dionkou,DEF
Julio Cabrera Ortega,DEF
Pau Torres,DEF
Cristian Olivera,ATT
Unai Eguiluz,DEF
Carlos Martín,ATT
Marco Quiterio Camus Muñoz,MIL
Miguel Baeza,MIL
César Tárrega Requeni,DEF
Oier Zarraga,MIL
Mamadou Sylla,ATT
Gerónimo Rulli,G
Hannibal Mejbri,MC
Abraham del Moral Rando,DEF
Diego Lainez,MIL
Guilherme Fernandes,G
Santi Miguélez,ATT
Ander Martín,ATT
Tomás Mendes,MIL
Alejandro García Morata,DEF
Alex Telles,DEF
Djordjije Medenica,G
Vicente Iborra,MIL
Salvi Sánchez,MIL
Sergio Reguilón,DEF
Bernardo Espinosa,DEF
Alex Douma Johan Lebarbier,MIL
Iván Chapela,ATT
Iker Almena,ATT
Gabri Veiga,MIL
Yadam Santana,MIL
Sergio Santos,DEF
Toni Fuidias,G
Pau Prim,MIL
Jack Harper,ATT
Ansu Fati,ATT
Rubén Blanco,G
Asier Illarramendi,MIL
Fran Árbol,G
Borja Garcés,ATT
José Sánchez Martínez,DEF
Lanchi,DEF
Gianni Cassaro,G
Alberto Soro Álvarez,MIL
Iván Martos,DEF
Mamadou Mbacke,DEF
Moussa Diakité,MIL
Mario Ramos Fernández,G
Diego Piñeiro,G
Junior Bita,MIL
Boulaye Dia,ATT
Papu Gómez,MIL
Giovani Lo Celso,MIL
Daniel Martínez Moreno,DEF
Sergio Busquets,MIL
Daniel Fuzato,G
Carlos Álvarez,MIL
Daniel Budesca López,DEF
Alessandro Burlamaqui,MIL
Gael Alonso Moreno,DEF
Njegoš Petrović,MIL
Santi Mina,ATT
Álvaro Killane,G
Estanis Pedrola,ATT
Thomas Delaney,MIL
Juan Cruz,MIL
Dyego Sousa,ATT
Javier Navarro Girona,MIL
Dominik Greif,G
Raúl Parra,DEF
Gonzalo Montiel,DEF
Manu Vallejo,ATT
Xabier Huarte Armendáriz,MIL
Diego Bri,ATT
Paulo Vitor,ATT
Unai Hernández,MIL
Awer Mabil,MIL
Joel del Pino,ATT
Juan Flere,G
Ricard Artero,MIL
Jakub Jankto,MIL
Víctor Vitolo,MIL
Jonathan Gómez,DEF
Coke Carrillo,G
Rachad Fettal Dhimi,ATT
Ander Iru,G
Rony Lopes,ATT
Álvaro García Blanes,DEF
Paco Sanz Mora,DEF
Álvaro Carrillo,DEF
Nico Paz,MIL
Ousmane Dembélé,ATT
Pau Ferrer,ATT
Javier Rueda García,DEF
Erick Cabaco,DEF
Oussama Idrissi,ATT
Dani Pérez,MIL
José Mari,MIL
Youba Diarra,MIL
Yann Bodiger,MIL
Braian Cufré,DEF
Carles Garrido,ATT
Samu Castillejo,MIL
Adrián Salguero Cid,DEF
Haissem Hassan,ATT
Peru Nolaskoain,MIL
Mario Martín,MIL
Martín Merquelanz,ATT
Horaţiu Moldovan,G
Germán García,G
Eray Cömert,DEF
Toni Villa,MIL
Vinícius Tobías,DEF
Miki Bosch,DEF
Guilherme Guedes,MIL
Gonçalo Paciencia,ATT
Rayane Belaid,MIL
Jon Morcillo,ATT
Alex Petxarroman,DEF
Arnaut Danjuma,ATT
Gaizka García,G
Fernando Niño,ATT
Íñigo Eguaras,MIL
Paul Akouokou,MIL
Martín Pascual,DEF
Pere García,G
Juan Manuel Gutiérrez,ATT
Bryan Gil,ATT
Adri,G
Mario Domínguez,ATT
Taichi Hara,ATT
Hugo González Sotos,MIL
Quique Fernández,MIL
Álvaro Bastida,MIL
Sergio Carreira,DEF
Nico González,MIL
Ale Gorrín,G
Dimitrios Stamatakis Vailakakis,G
Unai Ropero,ATT
Alberto del Moral,MIL
El Bilal Touré,ATT
Alberto Flores,G
